name,neighbourhood_cleansed,room_type,price,review_scores_rating,number_of_reviews,latitude,longitude,minimum_nights,accommodates
Residenza Martin  Classic room,Centro Storico,Private room,$147.00,4.67,174,43.77709,11.25216,1,2
Charming Gem - Oltrarno City centre,Centro Storico,Entire home/apt,$121.00,4.76,42,43.76832,11.24348,6,4
Central Double Shared Bathroom,Centro Storico,Private room,$77.00,4.52,88,43.77525,11.25258,2,2
Florence Central Double Private Bathroom,Centro Storico,Private room,,4.41,24,43.77525,11.25258,2,2
Apartment Santa Monaca Oltrarno old town,Centro Storico,Entire home/apt,$91.00,4.5,37,43.76742,11.24378,4,4
Pinzochere Mansarda at SANTA CROCE,Centro Storico,Entire home/apt,,4.75,8,43.76944,11.26331,3,2
Stylish Terrace on Boboli Gardens,Centro Storico,Entire home/apt,$197.00,4.86,452,43.76417541503906,11.24618434906006,3,4
Residenza Martin:  Superior room,Centro Storico,Private room,,4.74,156,43.77699,11.25216,1,3
Residenza Martin:  Single room,Centro Storico,Private room,$113.00,4.67,297,43.77704,11.25217,1,1
Residenza Martin:  Deluxe room,Centro Storico,Private room,$168.00,4.74,163,43.777,11.25216,1,3
Leonardo House,Centro Storico,Private room,$87.00,4.59,557,43.77386,11.25028,2,3
Central Single Shared Bathroom,Centro Storico,Private room,$80.00,4.6,40,43.77525,11.25258,3,1
love Florence?love Florentin house,Centro Storico,Entire home/apt,$123.00,4.57,152,43.77236,11.24787,3,4
Terrazzino Apartment,Centro Storico,Entire home/apt,$139.00,4.83,152,43.77713,11.26182,3,4
Toscanella Apartment,Centro Storico,Entire home/apt,$243.00,4.88,181,43.76728,11.25066,2,8
Giotto Central Florence apartment with Terrace,Centro Storico,Entire home/apt,$140.00,4.72,230,43.77613,11.25492,3,3
Home Sweet Home away from home  Extended Stay,Centro Storico,Entire home/apt,$138.00,4.92,123,43.77263,11.26316,31,4
Loft style historical Central,Centro Storico,Entire home/apt,$105.00,4.84,244,43.77089,11.25966,3,2
apartment in the center of Florence,Centro Storico,Entire home/apt,,4.96,46,43.77591,11.25846,5,4
Central Triple Private Bathroom,Centro Storico,Private room,$98.00,4.08,13,43.77525,11.25258,2,3
Regal Apartment in 16th Century Florentine Palazzo,Centro Storico,Entire home/apt,$173.00,4.98,49,43.77931,11.25805,5,3
Central Double Shared Bathroom,Centro Storico,Private room,$105.00,4.38,37,43.77525,11.25258,2,2
Florence Central Double Private Bathroom,Centro Storico,Private room,,4.26,35,43.77525,11.25258,2,2
Your apartment in the Heart of City,Isolotto Legnaia,Entire home/apt,$95.00,4.58,48,43.76988,11.23978,3,4
Large Studio in Ognissanti Palace,Centro Storico,Entire home/apt,$106.00,4.75,1196,43.77243,11.24519,2,2
Duomo Flat Amazing view in Florence,Centro Storico,Entire home/apt,$246.00,4.93,854,43.77272,11.25914,2,4
